Ticker,Name,Country,Market,Ticker_mkt,Market_Cap
SAN,Banco Santander S.A. Sponsored ADR (Spain),Spain,NYSE,^GSPC,1.73834E+11
VSNTV,Versant Media Group Inc. Class A When-Issued,United States,Nasdaq,^IXIC,1.6982E+11
UBER,Uber Technologies Inc.,United States,NYSE,^GSPC,1.68844E+11
BLK,BlackRock Inc.,United States,NYSE,^GSPC,1.68821E+11
APH,Amphenol Corporation,United States,NYSE,^GSPC,1.68222E+11
KLAC,KLA Corporation,United States,Nasdaq,^IXIC,1.6813E+11
NEE,NextEra Energy Inc.,United States,NYSE,^GSPC,1.67463E+11
ANET,Arista Networks Inc.,United States,NYSE,^GSPC,1.66024E+11
BA,Boeing Company (The),United States,NYSE,^GSPC,1.64515E+11
PDD,PDD Holdings Inc. American Depositary Shares,China,Nasdaq,^IXIC,1.63274E+11
DHR,Danaher Corporation,United States,NYSE,^GSPC,1.62686E+11
TD,Toronto Dominion Bank (The),Canada,NYSE,^GSPC,1.61587E+11
TXN,Texas Instruments Incorporated,United States,Nasdaq,^IXIC,1.60717E+11
SPGI,S&P Global Inc.,United States,NYSE,^GSPC,1.60317E+11
TBB,AT&T Inc. 5.350% Global Notes due 2066,United States,NYSE,^GSPC,1.60169E+11
NOW,ServiceNow Inc.,United States,NYSE,^GSPC,1.59798E+11
COF,Capital One Financial Corporation,United States,NYSE,^GSPC,1.58501E+11
INTC,Intel Corporation,United States,Nasdaq,^IXIC,1.58447E+11
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),Australia,NYSE,^GSPC,1.57167E+11
SONY,Sony Group Corporation American Depositary Shares ,Japan,NYSE,^GSPC,1.55566E+11
GILD,Gilead Sciences Inc.,United States,Nasdaq,^IXIC,1.54713E+11
UBS,UBS Group AG Registered Ordinary Shares,Switzerland,NYSE,^GSPC,1.50074E+11
ADBE,Adobe Inc.,United States,Nasdaq,^IXIC,1.48101E+11
UL,Unilever PLC American Depositary Shares (each representing One Ordinary Share),United Kingdom,NYSE,^GSPC,1.47755E+11
TTE,TotalEnergies SE Ordinary Shares,France,NYSE,^GSPC,1.42977E+11
PFE,Pfizer Inc.,United States,NYSE,^GSPC,1.42654E+11
BSX,Boston Scientific Corporation,United States,NYSE,^GSPC,1.42403E+11
UNP,Union Pacific Corporation,United States,NYSE,^GSPC,1.38467E+11
LOW,Lowe's Companies Inc.,United States,NYSE,^GSPC,1.37147E+11
ADI,Analog Devices Inc.,United States,Nasdaq,^IXIC,1.35556E+11
SYK,Stryker Corporation,United States,NYSE,^GSPC,1.35462E+11
BBVA,Banco Bilbao Vizcaya Argentaria S.A.,Spain,NYSE,^GSPC,1.3342E+11
PGR,Progressive Corporation (The),United States,NYSE,^GSPC,1.33188E+11
PANW,Palo Alto Networks Inc.,United States,Nasdaq,^IXIC,1.3135E+11
WELL,Welltower Inc.,United States,NYSE,^GSPC,1.28934E+11
DE,Deere & Company,United States,NYSE,^GSPC,1.2682E+11
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),Japan,NYSE,^GSPC,1.26244E+11
HON,Honeywell International Inc.,United States,Nasdaq,^IXIC,1.25308E+11
ETN,Eaton Corporation PLC Ordinary Shares,Ireland,NYSE,^GSPC,1.25131E+11
BTI,British American Tobacco  Industries p.l.c. ADR,United Kingdom,NYSE,^GSPC,1.24954E+11
MDT,Medtronic plc. Ordinary Shares,United States,NYSE,^GSPC,1.2374E+11
CB,Chubb Limited ,Switzerland,NYSE,^GSPC,1.23366E+11
SCCO,Southern Copper Corporation,United States,NYSE,^GSPC,1.21439E+11
CRWD,CrowdStrike Holdings Inc. Class A,United States,Nasdaq,^IXIC,1.21307E+11
PLD,Prologis Inc.,United States,NYSE,^GSPC,1.19554E+11
SPOT,Spotify Technology S.A. Ordinary Shares,Luxembourg,NYSE,^GSPC,1.19116E+11
SNY,Sanofi ADS,France,Nasdaq,^IXIC,1.19019E+11
VRTX,Vertex Pharmaceuticals Incorporated,United States,Nasdaq,^IXIC,1.17446E+11
ARM,Arm Holdings plc American Depositary Shares,United Kingdom,Nasdaq,^IXIC,1.16805E+11
KKR,KKR & Co. Inc.,United States,NYSE,^GSPC,1.16241E+11
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),Belgium,NYSE,^GSPC,1.15452E+11
NEM,Newmont Corporation,United States,NYSE,^GSPC,1.15434E+11
BX,Blackstone Inc.,United States,NYSE,^GSPC,1.14763E+11
COP,ConocoPhillips,United States,NYSE,^GSPC,1.13118E+11
CEG,Constellation Energy Corporation ,United States,Nasdaq,^IXIC,1.12568E+11
PH,Parker-Hannifin Corporation,United States,NYSE,^GSPC,1.12064E+11
LMT,Lockheed Martin Corporation,United States,NYSE,^GSPC,1.11772E+11
BMY,Bristol-Myers Squibb Company,United States,NYSE,^GSPC,1.11234E+11
HCA,HCA Healthcare Inc.,United States,NYSE,^GSPC,1.08878E+11
CMCSA,Comcast Corporation Class A,United States,Nasdaq,^IXIC,1.08078E+11
IBN,ICICI Bank Limited,India,NYSE,^GSPC,1.07211E+11
HOOD,Robinhood Markets Inc. Class A,United States,Nasdaq,^IXIC,1.06221E+11
BN,Brookfield Corporation Class A Limited Voting Shares,Canada,NYSE,^GSPC,1.04947E+11
ADP,Automatic Data Processing Inc.,United States,Nasdaq,^IXIC,1.04688E+11
ENB,Enbridge Inc,Canada,NYSE,^GSPC,1.03676E+11
RIO,Rio Tinto Plc,Australia,NYSE,^GSPC,1.03153E+11
MCK,McKesson Corporation,United States,NYSE,^GSPC,1.02229E+11
MELI,MercadoLibre Inc.,Argentina,Nasdaq,^IXIC,1.01684E+11
CVS,CVS Health Corporation,United States,NYSE,^GSPC,1.0106E+11
DASH,DoorDash Inc. Class A,United States,Nasdaq,^IXIC,1.00832E+11
GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares),United Kingdom,NYSE,^GSPC,1.00094E+11
CME,CME Group Inc. Class A,United States,Nasdaq,^IXIC,99787910124
SBUX,Starbucks Corporation,United States,Nasdaq,^IXIC,96744468000
MO,Altria Group Inc.,United States,NYSE,^GSPC,96691481395
SO,Southern Company (The),United States,NYSE,^GSPC,95983309164
CVNA,Carvana Co. Class A,United States,NYSE,^GSPC,95385931884
ICE,Intercontinental Exchange Inc.,United States,NYSE,^GSPC,93235602219
BMO,Bank Of Montreal,Canada,NYSE,^GSPC,92824109608
MCO,Moody's Corporation,United States,NYSE,^GSPC,92775136000
GD,General Dynamics Corporation,United States,NYSE,^GSPC,92435215252
AEM,Agnico Eagle Mines Limited,Canada,NYSE,^GSPC,92102308888
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,Canada,NYSE,^GSPC,92087988600
MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan),Japan,NYSE,^GSPC,91970186658
RACE,Ferrari N.V. Common Shares,Italy,NYSE,^GSPC,91650092149
MMC,Marsh & McLennan Companies Inc.,United States,NYSE,^GSPC,91613110721
SNPS,Synopsys Inc.,United States,Nasdaq,^IXIC,91285568811
DUK,Duke Energy Corporation (Holding Company),United States,NYSE,^GSPC,91126342228
NKE,Nike Inc.,United States,NYSE,^GSPC,90066809048
BCS,Barclays PLC,United Kingdom,NYSE,^GSPC,89485702947
BP,BP p.l.c.,United Kingdom,NYSE,^GSPC,89400849650
ING,ING Group N.V.,Netherlands,NYSE,^GSPC,89102644108
WM,Waste Management Inc.,United States,NYSE,^GSPC,89073904976
NTES,NetEase Inc. American Depositary Shares,China,Nasdaq,^IXIC,87425687072
TT,Trane Technologies plc,Ireland,NYSE,^GSPC,87052515580
CDNS,Cadence Design Systems Inc.,United States,Nasdaq,^IXIC,86802176890
CRH,CRH PLC Ordinary Shares,Ireland,NYSE,^GSPC,86304626362
APO,Apollo Global Management Inc. (New),United States,NYSE,^GSPC,86204360542
MMM,3M Company,United States,NYSE,^GSPC,86100955780
CM,Canadian Imperial Bank of Commerce,Canada,NYSE,^GSPC,86033739667
BAM,Brookfield Asset Management Inc Class A Limited Voting Shares,,NYSE,^GSPC,85965190491
DELL,Dell Technologies Inc. Class C ,United States,NYSE,^GSPC,85646004550
USB,U.S. Bancorp,United States,NYSE,^GSPC,85478329344
UPS,United Parcel Service Inc.,United States,NYSE,^GSPC,85296688123
HWM,Howmet Aerospace Inc.,United States,NYSE,^GSPC,84923590980
MAR,Marriott International Class A,United States,Nasdaq,^IXIC,84686459466
ABNB,Airbnb Inc. Class A,United States,Nasdaq,^IXIC,84219517616
PNC,PNC Financial Services Group Inc. (The),United States,NYSE,^GSPC,83878771084
AMT,American Tower Corporation (REIT),United States,NYSE,^GSPC,82585745763
REGN,Regeneron Pharmaceuticals Inc.,United States,Nasdaq,^IXIC,82499926256
NOC,Northrop Grumman Corporation,United States,NYSE,^GSPC,82402285084
BK,The Bank of New York Mellon Corporation,United States,NYSE,^GSPC,81917601596
NU,Nu Holdings Ltd. Class A Ordinary Shares,Cayman Islands,NYSE,^GSPC,80760718806
SHW,Sherwin-Williams Company (The),United States,NYSE,^GSPC,80674464871
LYG,Lloyds Banking Group Plc American Depositary Shares,United Kingdom,NYSE,^GSPC,79144214301
INFY,Infosys Limited American Depositary Shares,India,NYSE,^GSPC,78057668170
B,Barrick Mining Corporation Common Shares,Canada,NYSE,^GSPC,77976321905
RCL,Royal Caribbean Cruises Ltd.,United States,NYSE,^GSPC,77905914711
ORLY,O'Reilly Automotive Inc.,United States,Nasdaq,^IXIC,77868602487
ELV,Elevance Health Inc.,United States,NYSE,^GSPC,77756898398
GM,General Motors Company,United States,NYSE,^GSPC,77483459827
SATA,Strive Inc. Variable Rate Series A Perpetual Preferred Stock,United States,Nasdaq,^IXIC,77332310736
DB,Deutsche Bank AG,Germany,NYSE,^GSPC,77143687443
NGG,National Grid Transco PLC National Grid PLC (NEW) American Depositary Shares,United Kingdom,NYSE,^GSPC,77042868974
CTAS,Cintas Corporation,United States,Nasdaq,^IXIC,76812796833
GLW,Corning Incorporated,United States,NYSE,^GSPC,76793770670
AON,Aon plc Class A Ordinary Shares (Ireland),United States,NYSE,^GSPC,76656662262
SNOW,Snowflake Inc.,United States,NYSE,^GSPC,76611736000
EMR,Emerson Electric Company,United States,NYSE,^GSPC,76241878000
FCX,Freeport-McMoRan Inc.,United States,NYSE,^GSPC,76161762206
SE,Sea Limited American Depositary Shares each representing one Class A Ordinary Share,United States,NYSE,^GSPC,75689748562
MNST,Monster Beverage Corporation,United States,Nasdaq,^IXIC,75533510209
ECL,Ecolab Inc.,United States,NYSE,^GSPC,75269874785
RELX,RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share),United Kingdom,NYSE,^GSPC,74983714819
EQIX,Equinix Inc. REIT,United States,Nasdaq,^IXIC,74945433337
JCI,Johnson Controls International plc Ordinary Share,Switzerland,NYSE,^GSPC,74595218049
PBR,Petroleo Brasileiro S.A. Petrobras ADS,Brazil,NYSE,^GSPC,74432431701
CI,The Cigna Group,United States,NYSE,^GSPC,73862959382
TDG,Transdigm Group Incorporated,United States,NYSE,^GSPC,73734542916
ITW,Illinois Tool Works Inc.,United States,NYSE,^GSPC,73238646000
MRVL,Marvell Technology Inc.,United States,Nasdaq,^IXIC,73224954000
WMB,Williams Companies Inc. (The),United States,NYSE,^GSPC,72686946964
CMI,Cummins Inc.,United States,NYSE,^GSPC,71657379657
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),Brazil,NYSE,^GSPC,71463324005
WBD,Warner Bros. Discovery Inc. Series A ,United States,Nasdaq,^IXIC,71365665859
NWG,NatWest Group plc American Depositary Shares (each representing two (2) Ordinary Shares),United Kingdom,NYSE,^GSPC,70946737267
NET,Cloudflare Inc. Class A,United States,NYSE,^GSPC,70893404984
MDLZ,Mondelez International Inc. Class A,United States,Nasdaq,^IXIC,70505188003
FDX,FedEx Corporation,United States,NYSE,^GSPC,69673944065
EPD,Enterprise Products Partners L.P.,United States,NYSE,^GSPC,68945041864
TEL,TE Connectivity plc Ordinary Shares,Ireland,NYSE,^GSPC,68396057803
CNQ,Canadian Natural Resources Limited,Canada,NYSE,^GSPC,68305078530
HLT,Hilton Worldwide Holdings Inc. ,United States,NYSE,^GSPC,68215072518
CSX,CSX Corporation,United States,Nasdaq,^IXIC,68191455329
EQNR,Equinor ASA,Norway,NYSE,^GSPC,67846651638
CP,Canadian Pacific Kansas City Limited Common Shares,Canada,NYSE,^GSPC,67319119163
AJG,Arthur J. Gallagher & Co.,United States,NYSE,^GSPC,67148064000
COR,Cencora Inc.,United States,NYSE,^GSPC,66161464076
RSG,Republic Services Inc.,United States,NYSE,^GSPC,66051585119
NSC,Norfolk Southern Corporation,United States,NYSE,^GSPC,65287530082
TRV,The Travelers Companies Inc.,United States,NYSE,^GSPC,65161285374
TFC,Truist Financial Corporation,United States,NYSE,^GSPC,64742655800
PWR,Quanta Services Inc.,United States,NYSE,^GSPC,64517970828
CL,Colgate-Palmolive Company,United States,NYSE,^GSPC,64267557826
VRT,Vertiv Holdings LLC Class A,United States,NYSE,^GSPC,64072254493
COIN,Coinbase Global Inc. Class A,United States,Nasdaq,^IXIC,63878619537
ADSK,Autodesk Inc.,United States,Nasdaq,^IXIC,63750520000
AMX,America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares,Mexico,NYSE,^GSPC,63139230000
MSI,Motorola Solutions Inc.,United States,NYSE,^GSPC,62797896446
WDC,Western Digital Corporation,United States,Nasdaq,^IXIC,62068395473
E,ENI S.p.A.,Italy,NYSE,^GSPC,62027603584
AEP,American Electric Power Company Inc.,United States,Nasdaq,^IXIC,61914172183
ELVR,Elevra Lithium Limited American Depository Shares,Australia,Nasdaq,^IXIC,61768176950
MFC,Manulife Financial Corporation,Canada,NYSE,^GSPC,61636815681
SPG,Simon Property Group Inc.,United States,NYSE,^GSPC,61281694963
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),Ireland,Nasdaq,^IXIC,61124603103
CNI,Canadian National Railway Company,Canada,NYSE,^GSPC,60743695000
FTNT,Fortinet Inc.,United States,Nasdaq,^IXIC,60651939199
KMI,Kinder Morgan Inc.,United States,NYSE,^GSPC,60491235004
TRI,Thomson Reuters Corporation Common Shares,United States,Nasdaq,^IXIC,59257467693
PCAR,PACCAR Inc.,United States,Nasdaq,^IXIC,58712595293
ROST,Ross Stores Inc.,United States,Nasdaq,^IXIC,58588814258
TRP,TC Energy Corporation,Canada,NYSE,^GSPC,58139850000
WDAY,Workday Inc. Class A,United States,Nasdaq,^IXIC,58044100000
MDLN,Medline Inc. Class A,United States,Nasdaq,^IXIC,57974341007
SRE,DBA Sempra,United States,NYSE,^GSPC,57834109576
RBLX,Roblox Corporation Class A,United States,NYSE,^GSPC,57712315268
AFL,AFLAC Incorporated,United States,NYSE,^GSPC,57600119478
AZO,AutoZone Inc.,United States,NYSE,^GSPC,57137444283
NDAQ,Nasdaq Inc.,United States,Nasdaq,^IXIC,56728396269
BRKRP,Bruker Corporation 6.375% Mandatory Convertible Preferred Stock Series A,United States,Nasdaq,^IXIC,56484120282
VALE,VALE S.A.  American Depositary Shares Each Representing one common share,Brazil,NYSE,^GSPC,56475943352
SLB,SLB Limited Common Shares,France,NYSE,^GSPC,56455374167
WPM,Wheaton Precious Metals Corp Common Shares (Canada),Canada,NYSE,^GSPC,56398580170
EOG,EOG Resources Inc.,United States,NYSE,^GSPC,56158940300
PYPL,PayPal Holdings Inc.,United States,Nasdaq,^IXIC,56111047621
NXPI,NXP Semiconductors N.V.,Netherlands,Nasdaq,^IXIC,56090689352
BDX,Becton Dickinson and Company,United States,NYSE,^GSPC,56036224118
ET,Energy Transfer LP Common Units ,United States,NYSE,^GSPC,55792536378
ZTS,Zoetis Inc. Class A,United States,NYSE,^GSPC,55628704403
LHX,L3Harris Technologies Inc.,United States,NYSE,^GSPC,55511673404
ARES,Ares Management Corporation Class A,United States,NYSE,^GSPC,55152625605
APD,Air Products and Chemicals Inc.,United States,NYSE,^GSPC,55073277428
IDXX,IDEXX Laboratories Inc.,United States,Nasdaq,^IXIC,54976043678
MPLX,MPLX LP Common Units Representing Limited Partner Interests,United States,NYSE,^GSPC,54850323647
VST,Vistra Corp.,United States,NYSE,^GSPC,54777916968
SOMN,Southern Company (The) 2025 Series A Corporate Units,United States,NYSE,^GSPC,54658844407
RKT,Rocket Companies Inc. Class A,United States,NYSE,^GSPC,54656425133
ALL,Allstate Corporation (The),United States,NYSE,^GSPC,54377458922
DLR,Digital Realty Trust Inc.,United States,NYSE,^GSPC,53246175576
F,Ford Motor Company,United States,NYSE,^GSPC,53033675913
ALNY,Alnylam Pharmaceuticals Inc.,United States,Nasdaq,^IXIC,52923474353
MET,MetLife Inc.,United States,NYSE,^GSPC,52908999977
URI,United Rentals Inc.,United States,NYSE,^GSPC,52681943907
O,Realty Income Corporation,United States,NYSE,^GSPC,52149457818
SU,Suncor Energy  Inc.,Canada,NYSE,^GSPC,51786606877
ARGX,argenx SE American Depositary Shares,Netherlands,Nasdaq,^IXIC,51532394896
PSX,Phillips 66,United States,NYSE,^GSPC,51473174996
EA,Electronic Arts Inc.,United States,Nasdaq,^IXIC,51075560252
D,Dominion Energy Inc.,United States,NYSE,^GSPC,50551665998
EW,Edwards Lifesciences Corporation,United States,NYSE,^GSPC,50399055000
VLO,Valero Energy Corporation,United States,NYSE,^GSPC,50024614491
CMG,Chipotle Mexican Grill Inc.,United States,NYSE,^GSPC,49995331180
CAH,Cardinal Health Inc.,United States,NYSE,^GSPC,49488671298
TAK,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of),Japan,NYSE,^GSPC,49255233920
MPC,Marathon Petroleum Corporation,United States,NYSE,^GSPC,49205619788
CBRE,CBRE Group Inc Class A,United States,NYSE,^GSPC,49016542536
GWW,W.W. Grainger Inc.,United States,NYSE,^GSPC,48703834902
ROP,Roper Technologies Inc.,United States,Nasdaq,^IXIC,48526182567
DDOG,Datadog Inc. Class A,United States,Nasdaq,^IXIC,48503024648
DEO,Diageo plc,United Kingdom,NYSE,^GSPC,48045983476
AME,AMETEK Inc.,United States,NYSE,^GSPC,47985997327
FAST,Fastenal Company,United States,Nasdaq,^IXIC,47712364565
TCOM,Trip.com Group Limited American Depositary Shares,China,Nasdaq,^IXIC,47362126983
TTWO,Take-Two Interactive Software Inc.,United States,Nasdaq,^IXIC,47320011087
FER,Ferrovial SE Ordinary Shares,Netherlands,Nasdaq,^IXIC,46970536920
AIG,American International Group Inc. New,United States,NYSE,^GSPC,46662537150
HEI,Heico Corporation,United States,NYSE,^GSPC,46662151555
AMP,Ameriprise Financial Inc.,United States,NYSE,^GSPC,46622873955
DAL,Delta Air Lines Inc.,United States,NYSE,^GSPC,46262412113
AXON,Axon Enterprise Inc.,United States,Nasdaq,^IXIC,46071086469
FERG,Ferguson Enterprises Inc.,United Kingdom,NYSE,^GSPC,46057950345
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,Brazil,NYSE,^GSPC,45951308030
AU,AngloGold Ashanti PLC Ordinary Shares,South Africa,NYSE,^GSPC,45946843495
WCN,Waste Connections Inc. Common Shares,Canada,NYSE,^GSPC,45885358383
OKE,ONEOK Inc.,United States,NYSE,^GSPC,45839518927
PSA,Public Storage,United States,NYSE,^GSPC,45736189229
MSTR,Strategy Inc Class A,United States,Nasdaq,^IXIC,45634646655
CTVA,Corteva Inc. ,United States,NYSE,^GSPC,45571366080
MPWR,Monolithic Power Systems Inc.,United States,Nasdaq,^IXIC,45335352240
CARR,Carrier Global Corporation ,United States,NYSE,^GSPC,45134022164
HLN,Haleon plc American Depositary Shares (Each representing two Ordinary Shares),United Kingdom,NYSE,^GSPC,45111278097
TGT,Target Corporation,United States,NYSE,^GSPC,45076878912
ROK,Rockwell Automation Inc.,United States,NYSE,^GSPC,44885849351
LVS,Las Vegas Sands Corp.,United States,NYSE,^GSPC,44760103039
BKR,Baker Hughes Company Class A,United States,Nasdaq,^IXIC,44651518161
PRU,Prudential Financial Inc.,United States,NYSE,^GSPC,44415915538
CPNG,Coupang Inc. Class A,United States,NYSE,^GSPC,44332735747
XEL,Xcel Energy Inc.,United States,Nasdaq,^IXIC,44022389907
EXC,Exelon Corporation,United States,Nasdaq,^IXIC,44008246165
MSCI,MSCI Inc.,United States,NYSE,^GSPC,43955878920
HMC,Honda Motor Company Ltd.,Japan,NYSE,^GSPC,43175328415
TEAM,Atlassian Corporation Class A,Australia,Nasdaq,^IXIC,42926575639
BIDU,Baidu Inc. ADS,China,Nasdaq,^IXIC,42902607821
RDDT,Reddit Inc. Class A,United States,NYSE,^GSPC,42782458864
DHI,D.R. Horton Inc.,United States,NYSE,^GSPC,42734297920
JD,JD.com Inc. American Depositary Shares,China,Nasdaq,^IXIC,42726857506
YUM,Yum! Brands Inc.,United States,NYSE,^GSPC,42547519516
TKO,TKO Group Holdings Inc. Class A,United States,NYSE,^GSPC,42418407639
PCG,Pacific Gas & Electric Co.,United States,NYSE,^GSPC,42195063817
FANG,Diamondback Energy Inc.,United States,Nasdaq,^IXIC,41921562584
FNV,Franco-Nevada Corporation,Canada,NYSE,^GSPC,41911668659
GFI,Gold Fields Limited American Depositary Shares,South Africa,NYSE,^GSPC,41672328940
CCL,Carnival Corporation,United States,NYSE,^GSPC,41629964798
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,United Kingdom,Nasdaq,^IXIC,41625649282
